id,text,liked_part,rec_part,original_rating,original_sentiment,verified_sentiment,changed,rationale
98,Involvement in learning and practice with the lab works More assignments and quizzes for more active engagement with the unit,Involvement in learning and practice with the lab works,More assignments and quizzes for more active engagement with the unit,4.2727,neutral,neutral,False,Consistent with original label.
99,"Separation of theory and practical subject between online and physical classes respectively, gides through practical labs Less software-intensive alternatives, (e.g avoiding using applications like Docker)","Separation of theory and practical subject between online and physical classes respectively, gides through practical labs","Less software-intensive alternatives, (e.g avoiding using applications like Docker)",3.4545,negative,neutral,True,Balanced constructive suggestion / enhancement request without harsh complaint.
100,"The practical exercises and assignments helped me apply theoretical concepts to real-world scenarios.
 To be honest the lesson and lectures everything went smoothly",The practical exercises and assignments helped me apply theoretical concepts to real-world scenarios.,To be honest the lesson and lectures everything went smoothly,4.2727,neutral,neutral,False,Consistent with original label.
101,the lab assignments and the reflective journal i don't have any recommendations,the lab assignments and the reflective journal,i don't have any recommendations,3.0909,negative,positive,True,Praise for assignments and journal with zero recommendations.
102,I liked the emphasis on practical understanding. Mr. Omondi is very dedicated to delivering the content well which I appreciate. Reduce the number of slides in BI 1 lecture notes. Most of them are inflated to be honest but the number of slides can be demoralizing to a student. If there is a way to reduce the number of slides while still maintaining the content it will positively impact the students of the future.,I liked the emphasis on practical understanding. Mr. Omondi is very dedicated to delivering the content well which I appreciate.,Reduce the number of slides in BI 1 lecture notes. Most of them are inflated to be honest but the number of slides can be demoralizing to a student. If there is a way to reduce the number of slides while still maintaining the content it will positively impact the students of the future.,4.0909,neutral,negative,True,"Explicit dissatisfaction/complaint regarding slide length, pacing, technical friction, or confusion."
103,Interesting,Interesting,,2.0,negative,neutral,True,Single ambiguous adjective without positive/negative context.
104,The group work labs and the lecture slides It would be better for lecturers to take students through labs in a clearer way by simplifying the steps or give explanations on why this should be done and the impact. This is because one would finish the lab without understanding the true objective or how to apply it.,The group work labs and the lecture slides,It would be better for lecturers to take students through labs in a clearer way by simplifying the steps or give explanations on why this should be done and the impact. This is because one would finish the lab without understanding the true objective or how to apply it.,2.9091,negative,neutral,True,Balanced constructive suggestion / enhancement request without harsh complaint.
105,There was room for further research and group work So far so good,There was room for further research and group work,So far so good,4.3636,neutral,positive,True,Clear praise and appreciation with no recommendations or trivial satisfaction confirmation.
106,I liked the lab work and the assignments review More reviewing of the lab work to ensure proper understanding to the students,I liked the lab work and the assignments review,More reviewing of the lab work to ensure proper understanding to the students,3.5455,negative,negative,False,Consistent with original label.
107,"Detailed content in this unit
Labs that are helpful When it comes to specializations in 4th year, the knowledge on BI should be readily available to students before the said year. This will help them have a rough idea of what the unit is about.","Detailed content in this unit
Labs that are helpful","When it comes to specializations in 4th year, the knowledge on BI should be readily available to students before the said year. This will help them have a rough idea of what the unit is about.",4.4545,neutral,neutral,False,Consistent with original label.
108,"Enjoyed the detailed lab manuals and practical sessions.
The detailed notes in each topic and diagrams. Better integration of Slack in the workflow (i.e utilizing it in labs, etc).","Enjoyed the detailed lab manuals and practical sessions.
The detailed notes in each topic and diagrams.","Better integration of Slack in the workflow (i.e utilizing it in labs, etc).",4.3636,neutral,neutral,False,Consistent with original label.
109,"time series
how it helps in business corporations using IT less notes","time series
how it helps in business corporations using IT",less notes,4.0,neutral,neutral,False,Consistent with original label.
110,The in-depth explanations. The lab manuals on the topics being covered More real world referencing,The in-depth explanations. The lab manuals on the topics being covered,More real world referencing,3.8182,negative,neutral,True,Balanced constructive suggestion / enhancement request without harsh complaint.
111,"I enjoyed the practical aspect of the teaching, especially the labs and group work for each module.

I enjoyed the fact that we have access to the notes from early so you can read ahead and/or follow along in class.

I enjoyed the fact that labs were group based and we had ample time to do them. I think reflections should be graded once at the end of the semester or at least 1 week following the end of the module to give students enough time to thoroughly reflect on the content.","I enjoyed the practical aspect of the teaching, especially the labs and group work for each module.

I enjoyed the fact that we have access to the notes from early so you can read ahead and/or follow along in class.

I enjoyed the fact that labs were group based and we had ample time to do them.",I think reflections should be graded once at the end of the semester or at least 1 week following the end of the module to give students enough time to thoroughly reflect on the content.,4.2727,neutral,neutral,False,Consistent with original label.
112,"I liked the labs they were engaging and learned a little bit of python
I liked the that lecture slides were consise for BI 2 I would recommend more on considering students and placing dealines that one can submit late but not extremely late and not being given mising marks even if they did the work.","I liked the labs they were engaging and learned a little bit of python
I liked the that lecture slides were consise for BI 2",I would recommend more on considering students and placing dealines that one can submit late but not extremely late and not being given mising marks even if they did the work.,3.6364,negative,neutral,True,Positive experience with minor constructive feature suggestion.
113,"1. I liked the labs we did 
2. The quality of teaching shorter lecture notes","1. I liked the labs we did 
2. The quality of teaching",shorter lecture notes,2.9091,negative,neutral,True,Balanced feedback: praise for lab quality + recommendation for shorter notes.
114,The lecturer and the unit itself,The lecturer and the unit itself,,4.2727,neutral,positive,True,Clear praise and appreciation with no recommendations or trivial satisfaction confirmation.
115,"I enjoyed my own personal studying of the course unit, that is, the research that I had to do trying to understand the concepts in the course.

I enjoyed the lab work as well; it helped in gaining better understanding of the application of the concepts learnt in class. Having better structured slides that are detailed in a simple manner for better understanding, the current slides make the topics seem so complicated when it's not, also they are not very dependable when doing revision which is a bummer!!!","I enjoyed my own personal studying of the course unit, that is, the research that I had to do trying to understand the concepts in the course.

I enjoyed the lab work as well; it helped in gaining better understanding of the application of the concepts learnt in class.","Having better structured slides that are detailed in a simple manner for better understanding, the current slides make the topics seem so complicated when it's not, also they are not very dependable when doing revision which is a bummer!!!",2.8182,negative,negative,False,Strong critique of slide complexity and dependability for revision.
116,Learned how businesses use data to drive their operations. Make the course more hands on,Learned how businesses use data to drive their operations.,Make the course more hands on,4.7273,positive,positive,False,Consistent with original label.
117,"The lecturer made sure ylu understand before proceeding 
The end quizzes were a good way of remembering what we covered On the journals ... im having an issue with the lecturer viewimg my work... hence im not being graded ... maybe to find a way to make that more seemless ... cause ive raised the issue and theres a lot of friction in it being handled","The lecturer made sure ylu understand before proceeding 
The end quizzes were a good way of remembering what we covered",On the journals ... im having an issue with the lecturer viewimg my work... hence im not being graded ... maybe to find a way to make that more seemless ... cause ive raised the issue and theres a lot of friction in it being handled,4.2727,neutral,negative,True,"Explicit dissatisfaction/complaint regarding slide length, pacing, technical friction, or confusion."
118,I having practical labs to use real world tools and data to put the concepts I learn in class into practice. I enjoyed how practical examples where used to try and explain complex BI concepts. I have no reservations on this,I having practical labs to use real world tools and data to put the concepts I learn in class into practice. I enjoyed how practical examples where used to try and explain complex BI concepts.,I have no reservations on this,4.7273,positive,positive,False,Clear praise and appreciation with no recommendations or trivial satisfaction confirmation.
119,"The teaching was clear and engaging, and the examples made the lessons easy to understand as well as the engaging quizzes and lab works . I would probably recommend that more practical case studies or projects to apply BI concepts in real world scenarios should be included","The teaching was clear and engaging, and the examples made the lessons easy to understand as well as the engaging quizzes and lab works .",I would probably recommend that more practical case studies or projects to apply BI concepts in real world scenarios should be included,4.1818,neutral,neutral,False,Positive experience with minor constructive feature suggestion.
120,The lab works were very important At least to assist in the lab works especially before submission,The lab works were very important,At least to assist in the lab works especially before submission,3.0,negative,neutral,True,Balanced constructive suggestion / enhancement request without harsh complaint.
121,I liked the quizzes and The BI2 topics. Be more step by step for practical and also the number of slides,I liked the quizzes and The BI2 topics.,Be more step by step for practical and also the number of slides,3.8182,negative,neutral,True,Balanced feedback with practical suggestion on slide pacing.
122,Mode of content delivery and practical lab exercises More individual assignments,Mode of content delivery and practical lab exercises,More individual assignments,4.9091,positive,positive,False,Consistent with original label.
123,The lab work and reflective journal after each module and the way concepts were taught N/a,The lab work and reflective journal after each module and the way concepts were taught,N/a,4.8182,positive,positive,False,Clear praise and appreciation with no recommendations or trivial satisfaction confirmation.
124,Doing the labwork and learning new concepts We should have done a power BI certification,Doing the labwork and learning new concepts,We should have done a power BI certification,5.0,positive,positive,False,Consistent with original label.
125,"Regression 
Ml modelling","Regression 
Ml modelling",,3.3636,negative,positive,True,Clear praise and appreciation with no recommendations or trivial satisfaction confirmation.
126,Incredibly detailed. No opinion on the matter,Incredibly detailed.,No opinion on the matter,4.2727,neutral,positive,True,Clear praise and appreciation with no recommendations or trivial satisfaction confirmation.
127,"Straight forward content 
Deep dive knowledge of the content Reduce the number of lecture slides, some content can be placed on 1 or two pages.","Straight forward content 
Deep dive knowledge of the content","Reduce the number of lecture slides, some content can be placed on 1 or two pages.",4.3636,neutral,neutral,False,Balanced constructive suggestion / enhancement request without harsh complaint.
128,the practical enabled me to understand the concept being taught Have more labs where we are having one on one with the lecturer especially APIs,the practical enabled me to understand the concept being taught,Have more labs where we are having one on one with the lecturer especially APIs,4.0,neutral,neutral,False,Consistent with original label.
